Transcript_ID	CYP6A9-24-1/final	CYP6A9-24-2/final	CYP6A9-48-1/final	CYP6A9-48-2/final	GFP-24-1/final	GFP-24-2/final	GFP-48-1/final	GFP-48-2/final
g1008.t1	0	0	4	4	0	0	0	0
g10080.t1	0	4	3	3	0	0	0	0
g10081.t1	19	25	19	19	15	17	28	28
g10082.t1	65	109	62	62	78	78	71	71
g10083.t1	0	0	0	0	10	0	0	0
g10084.t1	0	0	0	0	0	0	0	0
g10085.t1	16	10	16	16	9	14	17	17
g10085.t2	3	0	0	0	0	0	0	0
g10086.t1	92	97	65	65	133	72	85	85
g10087.t1	2	12	7	7	8	8	4	4
g10088.t1	0	6	9	9	0	8	12	12
g10089.t1	0	0	3	3	0	0	0	0
g1009.t1	0	4	0	0	0	0	18	18
g1009.t2	10	8	13	13	16	11	0	0
g10090.t1	0	0	0	0	0	0	0	0
g10091.t1	0	0	0	0	0	3	4	4
g10092.t1	10	2	2	2	0	11	0	0
g10093.t1	0	0	0	0	0	0	3	3
g10094.t1	2	0	0	0	4	0	0	0
g10095.t1	0	0	0	0	0	0	0	0
g10096.t1	0	0	0	0	0	0	0	0
g10097.t1	22	11	5	5	0	16	9	9
g10098.t1	9	18	13	13	12	8	11	11
g10099.t1	11	8	4	4	4	6	11	11
g101.t1	0	9	6	6	8	0	0	0
g1010.t1	2	4	3	3	10	0	12	12
g10100.t1	0	0	0	0	0	0	0	0
g10100.t2	0	0	0	0	0	0	0	0
g10100.t3	0	0	0	0	0	0	0	0
g10100.t4	4	0	0	0	0	0	0	0
g10100.t5	0	0	0	0	0	0	0	0
g10100.t6	0	0	0	0	0	0	0	0
g10100.t7	0	0	0	0	0	0	0	0
g10100.t8	13	4	7	7	10	6	8	8
g10100.t9	0	0	0	0	0	0	0	0
g10101.t1	0	0	0	0	0	0	0	0
g10102.t1	0	0	0	0	0	0	0	0
g10103.t1	0	0	0	0	0	0	0	0
g10104.t1	0	0	0	0	0	0	0	0
g10105.t1	0	0	0	0	0	0	0	0
g10106.t1	3	4	0	0	8	4	2	2
g10107.t1	0	0	0	0	0	0	0	0
g10108.t1	0	0	16	16	0	0	0	0
g10109.t1	0	0	0	0	0	0	2	2
g1011.t1	5	4	4	4	4	7	5	5
g10110.t1	0	0	0	0	0	0	0	0
g10110.t2	0	0	0	0	0	0	0	0
g10111.t1	0	0	0	0	0	0	0	0
g10112.t1	6	4	0	0	3	6	0	0
g10113.t1	0	0	0	0	0	0	0	0
g10114.t1	0	0	0	0	0	0	0	0
g10115.t1	16	18	9	9	12	21	16	16
g10116.t1	10	10	18	18	13	20	19	19
g10116.t2	4	0	0	0	0	0	0	0
g10117.t1	4	0	2	2	2	2	8	8
g10118.t1	0	0	0	0	0	0	0	0
g10119.t1	0	2	0	0	0	0	0	0
g1012.t1	0	0	0	0	0	0	0	0
g1012.t2	0	0	0	0	4	0	2	2
g1012.t3	0	0	0	0	0	0	0	0
g1012.t4	0	0	0	0	0	0	0	0
g10120.t1	0	0	0	0	0	0	5	5
g10121.t1	6	8	6	6	4	2	3	3
g10122.t1	0	0	0	0	3	0	0	0
g10123.t1	0	0	4	4	0	0	6	6
g10124.t1	0	2	0	0	0	0	0	0
g10125.t1	0	0	0	0	0	0	0	0
g10126.t1	0	0	0	0	0	0	0	0
g10127.t1	0	0	2	2	0	0	0	0
g10128.t1	0	0	0	0	0	0	0	0
g10129.t1	0	0	0	0	0	0	0	0
g1013.t1	0	0	0	0	0	5	0	0
g10130.t1	0	0	0	0	0	0	0	0
g10130.t2	2	0	0	0	0	0	0	0
g10131.t1	0	0	0	0	0	0	0	0
g10132.t1	0	4	0	0	0	0	0	0
g10133.t1	0	0	0	0	0	2	2	2
g10134.t1	0	2	0	0	3	0	0	0
g10134.t2	0	0	0	0	0	0	0	0
g10135.t1	0	0	0	0	0	0	0	0
g10135.t2	0	0	0	0	0	0	4	4
g10136.t1	0	15	15	15	10	0	14	14
g10137.t1	39	37	17	17	20	28	26	26
g10138.t1	0	0	2	2	0	0	0	0
g10139.t1	3	0	4	4	0	0	0	0
g1014.t1	0	0	0	0	0	0	0	0
g10140.t1	2	0	0	0	0	0	0	0
g10140.t2	0	0	0	0	0	0	0	0
g10141.t1	0	0	0	0	0	0	0	0
g10142.t1	0	0	0	0	0	0	0	0
g10143.t1	0	0	0	0	0	0	0	0
g10144.t1	0	8	0	0	0	4	7	7
g10145.t1	0	0	0	0	0	0	0	0
g10145.t2	0	0	0	0	0	0	0	0
g10146.t1	0	0	0	0	2	2	2	2
g10147.t1	0	0	0	0	0	0	0	0
g10147.t2	0	0	0	0	0	0	0	0
g10148.t1	4	0	0	0	11	3	0	0
g10149.t1	0	0	0	0	0	0	0	0
g1015.t1	24	57	48	48	49	63	56	56
g10150.t1	6	0	0	0	0	0	2	2
g10151.t1	12	8	5	5	8	10	4	4
g10151.t2	0	0	0	0	0	0	0	0
g10152.t1	12	14	22	22	4	0	15	15
g10152.t2	0	0	0	0	0	0	0	0
g10152.t3	0	0	0	0	0	0	0	0
g10152.t4	0	0	0	0	0	0	0	0
g10152.t5	0	0	0	0	0	0	0	0
g10152.t6	0	0	0	0	0	0	0	0
g10153.t1	2	0	8	8	2	0	0	0
g10154.t1	6	0	2	2	0	0	2	2
g10155.t1	5	3	6	6	4	8	9	9
g10156.t1	0	0	0	0	0	0	0	0
g10157.t1	6	4	3	3	9	4	5	5
g10158.t1	0	0	0	0	2	0	0	0
g10159.t1	0	4	4	4	4	0	4	4
g1016.t1	0	0	0	0	0	50	0	0
g1016.t2	49	61	34	34	46	0	53	53
g10160.t1	10	6	0	0	0	4	19	19
g10161.t1	0	0	0	0	0	0	0	0
g10162.t1	0	3	0	0	0	6	0	0
g10163.t1	0	3	0	0	2	0	0	0
g10164.t1	6	18	7	7	8	2	12	12
g10165.t1	10	18	0	0	6	10	11	11
g10165.t2	0	0	0	0	0	0	0	0
g10166.t1	0	8	5	5	8	12	6	6
g10167.t1	0	0	0	0	0	0	0	0
g10168.t1	0	0	4	4	0	0	0	0
g10169.t1	9	15	0	0	14	7	10	10
g1017.t1	3	5	0	0	6	0	2	2
g10170.t1	145	214	104	104	117	157	148	148
g10171.t1	0	4	0	0	0	0	3	3
g10172.t1	0	0	0	0	0	0	4	4
g10173.t1	0	2	4	4	6	4	0	0
g10174.t1	0	0	0	0	0	0	0	0
g10174.t2	0	0	0	0	0	0	0	0
g10175.t1	0	0	0	0	0	0	0	0
g10176.t1	2	0	0	0	0	0	0	0
g10177.t1	0	0	0	0	0	0	0	0
g10178.t1	4	4	0	0	0	0	0	0
g10179.t1	2	0	0	0	6	0	0	0
g10179.t2	0	0	0	0	0	0	0	0
g10179.t3	0	0	0	0	0	0	0	0
g10179.t4	0	0	0	0	0	0	0	0
g1018.t1	0	0	0	0	0	0	2	2
g10180.t1	0	0	0	0	0	0	0	0
g10181.t1	0	0	0	0	6	5	0	0
g10182.t1	0	0	0	0	0	0	0	0
g10183.t1	0	0	0	0	0	3	0	0
g10184.t1	0	0	0	0	0	0	0	0
g10185.t1	0	0	0	0	0	0	0	0
g10186.t1	0	0	0	0	5	0	5	5
g10187.t1	4	0	8	8	4	6	1	1
g10188.t1	0	6	3	3	0	10	5	5
g10189.t1	24	8	9	9	9	7	20	20
g1019.t1	3	0	8	8	4	0	0	0
g10190.t1	6	7	2	2	7	0	2	2
g10191.t1	0	4	0	0	0	10	0	0
g10191.t2	0	0	0	0	0	0	0	0
g10192.t1	3	3	2	2	4	0	0	0
g10193.t1	0	23	6	6	0	9	7	7
g10194.t1	0	0	0	0	0	0	10	10
g10195.t1	0	0	0	0	0	0	0	0
g10196.t1	0	0	0	0	0	0	0	0
g10196.t2	0	0	0	0	0	0	0	0
g10197.t1	12	9	20	20	15	18	29	29
g10198.t1	1	19	5	5	8	0	12	12
g10199.t1	0	0	2	2	0	0	0	0
g10199.t2	0	0	1	1	2	6	2	2
g10199.t3	0	0	0	0	0	0	2	2
g102.t1	0	0	2	2	2	0	0	0
g1020.t1	0	2	0	0	2	6	4	4
g10200.t1	0	0	3	3	6	0	0	0
g10201.t1	0	0	0	0	0	0	0	0
g10201.t2	0	0	0	0	0	6	5	5
g10202.t1	0	0	0	0	0	0	0	0
g10202.t2	0	0	0	0	0	2	0	0
g10203.t1	0	2	0	0	0	0	0	0
g10204.t1	0	0	0	0	0	0	0	0
g10205.t1	6	0	4	4	3	4	4	4
g10206.t1	0	0	0	0	0	0	0	0
g10207.t1	0	0	0	0	0	0	0	0
g10208.t1	50	83	47	47	54	45	56	56
g10209.t1	0	0	0	0	0	0	0	0
g10209.t2	0	0	0	0	0	0	0	0
g1021.t1	0	2	2	2	0	0	0	0
g10210.t1	0	0	0	0	0	0	0	0
g10211.t1	0	0	0	0	0	0	0	0
g10212.t1	10	4	0	0	0	8	0	0
g10213.t1	0	0	0	0	0	0	0	0
g10213.t2	0	0	0	0	0	0	0	0
g10214.t1	4	2	0	0	5	8	0	0
g10215.t1	0	0	0	0	0	0	0	0
g10216.t1	6	0	8	8	0	0	4	4
g10216.t2	0	0	0	0	0	0	0	0
g10216.t3	0	0	0	0	0	0	0	0
g10216.t4	0	0	0	0	0	0	0	0
g10217.t1	0	0	0	0	0	0	0	0
g10217.t2	0	0	0	0	0	0	0	0
g10218.t1	4	0	0	0	6	12	3	3
g10219.t1	4	0	8	8	11	0	0	0
g10219.t2	0	0	0	0	0	0	0	0
g1022.t1	0	0	4	4	4	10	0	0
g10220.t1	201	263	107	107	109	367	119	119
g10221.t1	2	0	0	0	0	0	5	5
g10222.t1	6	5	0	0	3	10	0	0
g10223.t1	0	0	0	0	0	0	0	0
g10224.t1	7	0	0	0	0	14	3	3
g10225.t1	0	0	0	0	0	0	0	0
g10225.t2	0	0	0	0	0	0	0	0
g10226.t1	8	8	0	0	6	10	14	14
g10227.t1	0	0	0	0	0	0	0	0
g10228.t1	55	53	44	44	47	45	44	44
g10229.t1	122	123	93	93	96	94	117	117
g1023.t1	2	0	0	0	0	7	0	0
g10230.t1	16	17	18	18	0	8	11	11
