Gene_ID	CYP6A9-24-1/final	CYP6A9-24-2/final	CYP6A9-48-1/final	CYP6A9-48-2/final	GFP-24-1/final	GFP-24-2/final	GFP-48-1/final	GFP-48-2/final
g5755	0	0	0	0	0	0	0	0
g5756	0	0	0	0	8	0	0	0
g5757	0	0	0	0	0	0	0	0
g5758	0	0	2	2	0	0	2	2
g5759	0	0	0	0	0	0	0	0
g576	12	8	0	0	15	0	8	8
g5760	0	0	8	8	0	0	0	0
g5761	0	0	0	0	0	0	0	0
g5762	6	0	3	3	2	0	0	0
g5763	6	12	0	0	0	8	14	14
g5764	37	16	6	6	11	57	14	14
g5765	0	0	8	8	2	4	2	2
g5766	5	3	5	5	0	3	0	0
g5767	6	0	10	10	5	2	10	10
g5768	0	0	0	0	0	0	0	0
g5769	0	0	0	0	0	4	0	0
g577	0	5	3	3	12	8	0	0
g5770	0	7	0	0	7	6	2	2
g5771	0	0	0	0	9	0	0	0
g5772	0	0	2	2	0	8	0	0
g5773	0	0	0	0	0	0	0	0
g5774	14	9	14	14	16	6	5	5
g5775	10	28	17	17	28	18	26	26
g5776	2	9	3	3	2	2	0	0
g5777	2	4	0	0	0	0	0	0
g5778	3	0	0	0	0	11	0	0
g5779	0	0	0	0	0	0	0	0
g578	0	0	0	0	0	0	0	0
g5780	0	2	0	0	0	0	0	0
g5781	9	10	0	0	3	2	4	4
g5782	0	0	0	0	0	0	0	0
g5783	23	14	14	14	12	21	10	10
g5784	0	0	0	0	0	0	0	0
g5785	0	0	0	0	0	0	0	0
g5786	0	0	0	0	0	0	0	0
g5787	0	0	0	0	0	0	0	0
g5788	7	8	3	3	7	3	9	9
g5789	0	0	0	0	4	0	6	6
g579	0	0	0	0	0	0	0	0
g5790	3	0	0	0	0	0	0	0
g5791	0	0	0	0	0	0	0	0
g5792	0	0	0	0	0	0	0	0
g5793	0	0	0	0	0	0	0	0
g5794	2	0	2	2	2	2	2	2
g5795	0	0	0	0	0	0	0	0
g5796	0	0	0	0	0	0	0	0
g5797	0	0	0	0	0	0	0	0
g5798	0	0	0	0	0	0	0	0
g5799	0	0	0	0	0	0	0	0
g58	0	0	0	0	0	0	0	0
g580	8	0	25	25	20	6	14	14
g5800	0	0	0	0	0	0	0	0
g5801	0	0	0	0	0	0	0	0
g5802	0	0	0	0	0	0	0	0
g5803	0	0	0	0	0	0	0	0
g5804	0	0	0	0	0	0	0	0
g5805	0	0	0	0	0	0	0	0
g5806	0	0	0	0	0	0	0	0
g5807	0	0	0	0	0	0	0	0
g5808	0	0	0	0	0	0	0	0
g5809	0	0	0	0	0	0	0	0
g581	0	4	8	8	8	8	0	0
g5810	0	0	0	0	0	0	0	0
g5811	0	0	0	0	0	0	0	0
g5812	2	0	2	2	0	0	0	0
g5813	4	0	4	4	10	6	4	4
g5814	13	12	17	17	13	16	13	13
g5815	7	10	12	12	11	11	10	10
g5816	0	2	0	0	0	0	2	2
g5817	0	0	0	0	0	0	0	0
g5818	0	0	0	0	0	0	0	0
g5819	0	0	12	12	4	6	6	6
g582	60	51	42	42	34	28	32	32
g5820	1	6	0	0	0	0	0	0
g5821	115	130	143	143	106	146	115	115
g5822	0	0	0	0	0	0	0	0
g5823	7	0	4	4	4	0	4	4
g5824	0	0	0	0	0	0	0	0
g5825	0	3	0	0	5	3	0	0
g5826	53	91	60	60	64	48	66	66
g5827	11	11	11	11	4	10	8	8
g5828	0	0	0	0	0	0	0	0
g5829	3	0	0	0	1	0	0	0
g583	5	0	5	5	5	7	10	10
g5830	0	10	17	17	6	7	7	7
g5831	0	0	0	0	0	0	0	0
g5832	0	0	0	0	4	0	0	0
g5833	0	10	6	6	6	0	0	0
g5834	0	0	0	0	0	0	2	2
g5835	15	12	0	0	15	8	10	10
g5836	0	0	0	0	0	3	0	0
g5837	0	0	0	0	2	0	2	2
g5838	13	2	0	0	8	4	11	11
g5839	6	2	7	7	6	0	3	3
g584	21	19	24	24	0	23	27	27
g5840	0	2	0	0	0	0	2	2
g5841	3	0	0	0	4	8	0	0
g5842	10	3	5	5	10	1	15	15
g5843	3	6	0	0	0	7	7	7
g5844	6	10	7	7	4	4	0	0
g5845	0	0	7	7	0	0	0	0
g5846	0	0	3	3	5	6	0	0
g5847	0	0	0	0	0	0	0	0
g5848	6	8	10	10	15	4	10	10
g5849	0	0	0	0	0	0	2	2
g585	0	0	0	0	0	4	2	2
g5850	73	84	76	76	51	65	58	58
g5851	3	0	2	2	3	3	0	0
g5852	59	44	50	50	39	42	47	47
g5853	22	32	37	37	31	26	39	39
g5854	6	7	6	6	4	6	8	8
g5855	10	31	22	22	19	0	16	16
g5856	0	0	0	0	0	0	0	0
g5857	0	4	0	0	0	0	0	0
g5858	0	0	0	0	0	0	0	0
g5859	3	3	0	0	0	0	2	2
g586	0	0	2	2	0	0	0	0
g5860	0	0	0	0	0	0	0	0
g5861	0	2	0	0	0	2	0	0
g5862	0	0	0	0	0	0	0	0
g5863	4	6	8	8	15	6	13	13
g5864	0	0	0	0	0	0	0	0
g5865	17	10	33	33	36	20	37	37
g5866	0	0	0	0	0	0	0	0
g5867	0	0	0	0	0	0	0	0
g5868	0	0	0	0	0	0	0	0
g5869	0	0	0	0	0	0	0	0
g587	18	8	7	7	13	13	6	6
g5870	5	0	16	16	5	4	2	2
g5871	0	3	2	2	0	7	8	8
g5872	0	0	0	0	0	0	2	2
g5873	0	0	0	0	0	0	0	0
g5874	0	0	0	0	0	0	0	0
g5875	0	2	5	5	0	0	2	2
g5876	22	21	23	23	43	21	19	19
g5877	0	0	0	0	0	0	0	0
g5878	0	0	0	0	0	0	0	0
g5879	0	6	4	4	0	0	8	8
g588	0	0	0	0	2	0	2	2
g5880	2	2	4	4	7	9	5	5
g5881	10	5	13	13	5	15	10	10
g5882	0	0	0	0	0	0	0	0
g5883	0	10	0	0	0	0	0	0
g5884	0	0	0	0	0	0	0	0
g5885	15	8	11	11	10	13	12	12
g5886	0	0	4	4	5	2	2	2
g5887	0	0	0	0	2	0	0	0
g5888	0	0	2	2	0	3	0	0
g5889	0	0	0	0	0	0	0	0
g589	4	0	2	2	7	4	0	0
g5890	0	0	0	0	0	0	0	0
g5891	4	8	5	5	8	0	7	7
g5892	0	0	0	0	0	0	2	2
g5893	7	10	6	6	5	2	5	5
g5894	7	0	0	0	0	0	5	5
g5895	0	0	0	0	0	0	0	0
g5896	0	0	0	0	0	0	0	0
g5897	0	0	0	0	2	2	11	11
g5898	0	0	0	0	0	0	0	0
g5899	10	5	13	13	0	0	13	13
g59	0	0	0	0	0	0	0	0
g590	0	0	0	0	4	9	0	0
g5900	7	17	6	6	12	14	8	8
g5901	0	0	0	0	3	0	0	0
g5902	2	0	0	0	0	0	0	0
g5903	0	0	0	0	0	0	4	4
g5904	0	0	0	0	0	2	0	0
g5905	81	68	53	53	67	85	66	66
g5906	0	0	0	0	3	0	0	0
g5907	4	2	10	10	0	8	2	2
g5908	0	0	0	0	0	0	0	0
g5909	16	15	8	8	9	17	14	14
g591	18	8	10	10	19	12	16	16
g5910	78	52	90	90	36	71	51	51
g5911	6	0	14	14	6	7	0	0
g5912	0	0	0	0	0	0	4	4
g5913	2	0	0	0	4	2	2	2
g5914	0	0	0	0	0	0	0	0
g5915	0	0	0	0	0	0	0	0
g5916	0	0	0	0	4	0	0	0
g5917	0	6	3	3	0	0	0	0
g5918	0	11	4	4	3	7	4	4
g5919	6	16	14	14	13	4	10	10
g592	8	0	0	0	2	6	5	5
g5920	0	0	2	2	5	0	2	2
g5921	11	0	14	14	2	0	10	10
g5922	0	0	0	0	0	0	0	0
g5923	0	0	0	0	0	0	0	0
g5924	0	0	0	0	0	0	0	0
g5925	20	10	20	20	22	20	30	30
g5926	0	0	0	0	0	0	0	0
g5927	13	6	0	0	8	7	2	2
