Gene_ID	CYP6A9-24-1/final	CYP6A9-24-2/final	CYP6A9-48-1/final	CYP6A9-48-2/final	GFP-24-1/final	GFP-24-2/final	GFP-48-1/final	GFP-48-2/final
g1	0	0	0	0	0	0	0	0
g10	0	0	0	0	0	0	0	0
g100	5	14	4	4	10	3	0	0
g1000	0	0	0	0	0	0	3	3
g10000	0	0	0	0	0	0	0	0
g10001	0	0	0	0	0	0	0	0
g10002	0	0	0	0	0	0	0	0
g10003	0	0	0	0	0	0	0	0
g10004	0	0	0	0	3	0	0	0
g10005	6	6	0	0	2	4	3	3
g10006	0	5	0	0	0	0	1	1
g10007	9	0	6	6	10	11	6	6
g10008	2	8	22	22	8	14	13	13
g10009	0	0	0	0	0	0	0	0
g1001	4	0	0	0	6	0	0	0
g10010	4	0	0	0	0	0	3	3
g10011	5	2	0	0	0	6	0	0
g10012	0	0	0	0	0	0	0	0
g10013	6	8	9	9	7	5	4	4
g10014	0	6	5	5	0	0	0	0
g10015	0	0	0	0	0	0	0	0
g10016	6	2	0	0	0	0	3	3
g10017	18	24	15	15	19	10	19	19
g10018	0	0	4	4	0	2	0	0
g10019	0	2	7	7	4	0	0	0
g1002	0	0	1	1	0	3	0	0
g10020	4	4	10	10	6	12	4	4
g10021	12	0	8	8	8	0	14	14
g10022	870	1555	1035	1035	1564	1448	1345	1345
g10023	6	21	11	11	11	8	2	2
g10024	0	4	0	0	3	3	0	0
g10025	0	0	0	0	0	0	5	5
g10026	0	4	0	0	6	6	2	2
g10027	0	0	0	0	0	0	0	0
g10028	0	0	0	0	0	0	0	0
g10029	0	0	0	0	0	0	0	0
g1003	0	0	0	0	0	0	0	0
g10030	0	0	0	0	0	0	0	0
g10031	8	12	0	0	12	13	10	10
g10032	4	4	3	3	6	2	2	2
g10033	8	0	8	8	6	0	2	2
g10034	1	0	0	0	0	0	0	0
g10035	4	0	0	0	0	3	4	4
g10036	21	27	21	21	14	24	23	23
g10037	86	74	116	116	95	76	82	82
g10038	0	0	0	0	0	0	0	0
g10039	0	0	0	0	2	0	0	0
g1004	0	0	0	0	0	0	0	0
g10040	0	0	0	0	0	0	0	0
g10041	2	8	2	2	0	0	4	4
g10042	4	4	0	0	0	11	0	0
g10043	4	0	0	0	2	9	1	1
g10044	4	0	0	0	5	0	3	3
g10045	4	10	4	4	11	3	8	8
g10046	13	0	3	3	2	0	0	0
g10047	0	0	0	0	0	2	0	0
g10048	0	0	0	0	0	0	0	0
g10049	8	6	7	7	0	0	2	2
g1005	8	12	34	34	8	6	6	6
g10050	0	4	0	0	0	0	0	0
g10051	8	13	4	4	0	21	8	8
g10052	0	0	0	0	0	0	3	3
g10053	0	0	0	0	0	0	0	0
g10054	21	18	24	24	38	31	23	23
g10055	6	0	0	0	15	0	3	3
g10056	17	28	22	22	22	19	14	14
g10057	0	19	8	8	0	2	4	4
g10058	0	4	0	0	0	6	0	0
g10059	3	0	2	2	0	0	0	0
g1006	0	0	0	0	0	0	0	0
g10060	3	3	0	0	0	2	0	0
g10061	8	0	0	0	2	8	6	6
g10062	115	115	74	74	111	83	36	36
g10063	0	0	3	3	0	0	0	0
g10064	2	0	0	0	0	4	0	0
g10065	0	0	0	0	0	0	0	0
g10066	41	51	29	29	66	57	42	42
g10067	20	22	12	12	20	19	23	23
g10068	24	16	8	8	0	13	20	20
g10069	0	0	0	0	0	0	0	0
g1007	0	0	2	2	0	0	6	6
g10070	21	41	32	32	42	53	28	28
g10071	0	0	0	0	0	0	0	0
g10072	4	0	2	2	0	0	0	0
g10073	4	13	6	6	10	0	0	0
g10074	326	241	276	276	185	348	255	255
g10075	209	135	123	123	132	133	116	116
g10076	2	0	0	0	0	0	0	0
g10077	0	0	4	4	4	0	0	0
g10078	10	0	0	0	15	0	5	5
g10079	8	2	0	0	0	4	0	0
g1008	0	0	4	4	0	0	0	0
g10080	0	4	3	3	0	0	0	0
g10081	19	25	19	19	15	17	28	28
g10082	65	109	62	62	78	78	71	71
g10083	0	0	0	0	10	0	0	0
g10084	0	0	0	0	0	0	0	0
g10085	19	10	16	16	9	14	17	17
g10086	92	97	65	65	133	72	85	85
g10087	2	12	7	7	8	8	4	4
g10088	0	6	9	9	0	8	12	12
g10089	0	0	3	3	0	0	0	0
g1009	10	12	13	13	16	11	18	18
g10090	0	0	0	0	0	0	0	0
g10091	0	0	0	0	0	3	4	4
g10092	10	2	2	2	0	11	0	0
g10093	0	0	0	0	0	0	3	3
g10094	2	0	0	0	4	0	0	0
g10095	0	0	0	0	0	0	0	0
g10096	0	0	0	0	0	0	0	0
g10097	22	11	5	5	0	16	9	9
g10098	9	18	13	13	12	8	11	11
g10099	11	8	4	4	4	6	11	11
g101	0	9	6	6	8	0	0	0
g1010	2	4	3	3	10	0	12	12
g10100	17	4	7	7	10	6	8	8
g10101	0	0	0	0	0	0	0	0
g10102	0	0	0	0	0	0	0	0
g10103	0	0	0	0	0	0	0	0
g10104	0	0	0	0	0	0	0	0
g10105	0	0	0	0	0	0	0	0
g10106	3	4	0	0	8	4	2	2
g10107	0	0	0	0	0	0	0	0
g10108	0	0	16	16	0	0	0	0
g10109	0	0	0	0	0	0	2	2
g1011	5	4	4	4	4	7	5	5
g10110	0	0	0	0	0	0	0	0
g10111	0	0	0	0	0	0	0	0
g10112	6	4	0	0	3	6	0	0
g10113	0	0	0	0	0	0	0	0
g10114	0	0	0	0	0	0	0	0
g10115	16	18	9	9	12	21	16	16
g10116	14	10	18	18	13	20	19	19
g10117	4	0	2	2	2	2	8	8
g10118	0	0	0	0	0	0	0	0
g10119	0	2	0	0	0	0	0	0
g1012	0	0	0	0	4	0	2	2
g10120	0	0	0	0	0	0	5	5
g10121	6	8	6	6	4	2	3	3
g10122	0	0	0	0	3	0	0	0
g10123	0	0	4	4	0	0	6	6
g10124	0	2	0	0	0	0	0	0
g10125	0	0	0	0	0	0	0	0
g10126	0	0	0	0	0	0	0	0
g10127	0	0	2	2	0	0	0	0
g10128	0	0	0	0	0	0	0	0
g10129	0	0	0	0	0	0	0	0
g1013	0	0	0	0	0	5	0	0
g10130	2	0	0	0	0	0	0	0
g10131	0	0	0	0	0	0	0	0
g10132	0	4	0	0	0	0	0	0
g10133	0	0	0	0	0	2	2	2
g10134	0	2	0	0	3	0	0	0
g10135	0	0	0	0	0	0	4	4
g10136	0	15	15	15	10	0	14	14
g10137	39	37	17	17	20	28	26	26
g10138	0	0	2	2	0	0	0	0
g10139	3	0	4	4	0	0	0	0
g1014	0	0	0	0	0	0	0	0
g10140	2	0	0	0	0	0	0	0
g10141	0	0	0	0	0	0	0	0
g10142	0	0	0	0	0	0	0	0
g10143	0	0	0	0	0	0	0	0
g10144	0	8	0	0	0	4	7	7
g10145	0	0	0	0	0	0	0	0
g10146	0	0	0	0	2	2	2	2
g10147	0	0	0	0	0	0	0	0
g10148	4	0	0	0	11	3	0	0
g10149	0	0	0	0	0	0	0	0
g1015	24	57	48	48	49	63	56	56
g10150	6	0	0	0	0	0	2	2
g10151	12	8	5	5	8	10	4	4
g10152	12	14	22	22	4	0	15	15
g10153	2	0	8	8	2	0	0	0
g10154	6	0	2	2	0	0	2	2
g10155	5	3	6	6	4	8	9	9
g10156	0	0	0	0	0	0	0	0
g10157	6	4	3	3	9	4	5	5
g10158	0	0	0	0	2	0	0	0
g10159	0	4	4	4	4	0	4	4
g1016	49	61	34	34	46	50	53	53
g10160	10	6	0	0	0	4	19	19
g10161	0	0	0	0	0	0	0	0
g10162	0	3	0	0	0	6	0	0
g10163	0	3	0	0	2	0	0	0
g10164	6	18	7	7	8	2	12	12
g10165	10	18	0	0	6	10	11	11
g10166	0	8	5	5	8	12	6	6
g10167	0	0	0	0	0	0	0	0
g10168	0	0	4	4	0	0	0	0
g10169	9	15	0	0	14	7	10	10
g1017	3	5	0	0	6	0	2	2
g10170	145	214	104	104	117	157	148	148
g10171	0	4	0	0	0	0	3	3
g10172	0	0	0	0	0	0	4	4
g10173	0	2	4	4	6	4	0	0
g10174	0	0	0	0	0	0	0	0
g10175	0	0	0	0	0	0	0	0
g10176	2	0	0	0	0	0	0	0
g10177	0	0	0	0	0	0	0	0
g10178	4	4	0	0	0	0	0	0
g10179	2	0	0	0	6	0	0	0
g1018	0	0	0	0	0	0	2	2
g10180	0	0	0	0	0	0	0	0
g10181	0	0	0	0	6	5	0	0
g10182	0	0	0	0	0	0	0	0
g10183	0	0	0	0	0	3	0	0
g10184	0	0	0	0	0	0	0	0
g10185	0	0	0	0	0	0	0	0
g10186	0	0	0	0	5	0	5	5
g10187	4	0	8	8	4	6	1	1
g10188	0	6	3	3	0	10	5	5
g10189	24	8	9	9	9	7	20	20
g1019	3	0	8	8	4	0	0	0
g10190	6	7	2	2	7	0	2	2
g10191	0	4	0	0	0	10	0	0
g10192	3	3	2	2	4	0	0	0
g10193	0	23	6	6	0	9	7	7
g10194	0	0	0	0	0	0	10	10
g10195	0	0	0	0	0	0	0	0
g10196	0	0	0	0	0	0	0	0
g10197	12	9	20	20	15	18	29	29
g10198	1	19	5	5	8	0	12	12
g10199	0	0	3	3	2	6	4	4
g102	0	0	2	2	2	0	0	0
g1020	0	2	0	0	2	6	4	4
g10200	0	0	3	3	6	0	0	0
g10201	0	0	0	0	0	6	5	5
g10202	0	0	0	0	0	2	0	0
g10203	0	2	0	0	0	0	0	0
g10204	0	0	0	0	0	0	0	0
g10205	6	0	4	4	3	4	4	4
g10206	0	0	0	0	0	0	0	0
g10207	0	0	0	0	0	0	0	0
g10208	50	83	47	47	54	45	56	56
g10209	0	0	0	0	0	0	0	0
g1021	0	2	2	2	0	0	0	0
g10210	0	0	0	0	0	0	0	0
g10211	0	0	0	0	0	0	0	0
g10212	10	4	0	0	0	8	0	0
g10213	0	0	0	0	0	0	0	0
g10214	4	2	0	0	5	8	0	0
g10215	0	0	0	0	0	0	0	0
g10216	6	0	8	8	0	0	4	4
g10217	0	0	0	0	0	0	0	0
g10218	4	0	0	0	6	12	3	3
g10219	4	0	8	8	11	0	0	0
g1022	0	0	4	4	4	10	0	0
g10220	201	263	107	107	109	367	119	119
g10221	2	0	0	0	0	0	5	5
g10222	6	5	0	0	3	10	0	0
g10223	0	0	0	0	0	0	0	0
g10224	7	0	0	0	0	14	3	3
g10225	0	0	0	0	0	0	0	0
g10226	8	8	0	0	6	10	14	14
g10227	0	0	0	0	0	0	0	0
g10228	55	53	44	44	47	45	44	44
g10229	122	123	93	93	96	94	117	117
g1023	2	0	0	0	0	7	0	0
g10230	16	17	18	18	0	8	11	11
g10231	2	7	0	0	0	3	3	3
g10232	0	0	0	0	0	0	0	0
g10233	3	0	2	2	0	0	0	0
g10234	206	195	185	185	202	223	263	263
g10235	0	0	0	0	0	0	0	0
g10236	9	0	3	3	0	14	8	8
g10237	0	0	2	2	0	0	0	0
g10238	0	0	0	0	0	0	0	0
g10239	0	0	0	0	0	0	0	0
g1024	0	5	2	2	3	2	0	0
g10240	0	0	5	5	0	0	0	0
g10241	0	0	0	0	0	5	0	0
g10242	0	0	0	0	0	0	0	0
g10243	0	0	0	0	0	0	0	0
g10244	0	0	0	0	0	0	0	0
g10245	5	2	0	0	0	0	0	0
g10246	0	0	0	0	0	0	0	0
g10247	0	8	4	4	10	0	0	0
g10248	0	3	0	0	0	0	0	0
g10249	0	0	0	0	0	0	0	0
g1025	0	0	0	0	0	0	0	0
g10250	20	20	8	8	15	11	14	14
g10251	0	0	0	0	0	0	8	8
g10252	0	4	4	4	3	0	0	0
g10253	0	9	2	2	4	4	0	0
g10254	79	63	60	60	101	80	81	81
g10255	0	0	0	0	0	0	0	0
g10256	0	2	0	0	0	0	0	0
g10257	12	13	15	15	4	15	16	16
g10258	3	0	4	4	5	0	0	0
g10259	2	0	4	4	0	10	0	0
g1026	4	0	0	0	0	0	0	0
g10260	5	10	6	6	5	0	4	4
g10261	9	10	0	0	10	2	12	12
g10262	9	11	11	11	0	10	8	8
g10263	3	6	7	7	0	8	4	4
g10264	0	0	4	4	8	2	2	2
g10265	0	0	4	4	0	0	4	4
g10266	5	0	0	0	0	0	0	0
g10267	0	0	3	3	0	0	0	0
g10268	72	42	32	32	66	33	30	30
g10269	40	58	35	35	32	65	12	12
g1027	5	0	2	2	0	4	0	0
g10270	0	4	0	0	0	4	0	0
g10271	10	26	16	16	12	22	33	33
g10272	0	0	1	1	0	2	0	0
g10273	0	0	0	0	0	0	0	0
g10274	9	2	8	8	0	0	0	0
g10275	0	0	0	0	0	0	2	2
g10276	0	0	0	0	2	0	4	4
g10277	8	4	4	4	0	12	0	0
g10278	77	65	70	70	72	82	90	90
g10279	9	0	5	5	0	0	0	0
g1028	2	5	5	5	0	2	0	0
g10280	0	0	0	0	0	0	0	0
g10281	4	0	0	0	2	0	0	0
g10282	7	6	0	0	8	7	13	13
g10283	0	0	0	0	0	0	0	0
g10284	0	0	2	2	2	4	0	0
g10285	0	0	0	0	0	0	3	3
g10286	16	32	14	14	21	15	15	15
g10287	0	0	0	0	0	0	0	0
g10288	12	8	8	8	9	8	8	8
g10289	24	20	12	12	11	38	11	11
g1029	0	0	0	0	4	0	0	0
g10290	0	0	0	0	0	0	0	0
g10291	0	0	0	0	0	0	0	0
g10292	0	0	0	0	0	0	0	0
g10293	0	0	0	0	0	0	0	0
g10294	0	0	0	0	0	0	0	0
g10295	0	0	0	0	0	4	0	0
g10296	4	2	3	3	0	0	6	6
g10297	0	0	0	0	0	0	0	0
g10298	0	0	0	0	3	2	0	0
g10299	0	0	0	0	0	0	0	0
g103	5	0	0	0	0	0	0	0
g1030	3	0	0	0	0	0	0	0
g10300	18	26	25	25	16	25	23	23
g10301	5	15	10	10	16	6	14	14
g10302	0	0	0	0	0	0	0	0
g10303	0	0	0	0	0	0	0	0
g10304	0	0	0	0	0	0	0	0
g10305	0	0	0	0	0	0	0	0
g10306	0	0	0	0	0	0	0	0
g10307	0	0	0	0	0	0	0	0
g10308	0	0	0	0	0	0	0	0
g10309	0	0	0	0	0	0	0	0
g1031	0	0	0	0	0	0	0	0
g10310	0	0	0	0	0	0	0	0
g10311	3	0	0	0	3	0	3	3
g10312	0	0	0	0	0	0	0	0
g10313	0	0	0	0	0	0	0	0
g10314	0	0	0	0	0	0	0	0
g10315	0	0	0	0	0	0	0	0
g10316	0	0	0	0	0	0	0	0
g10317	0	0	0	0	0	0	0	0
g10318	0	0	0	0	0	0	0	0
g10319	0	0	0	0	0	0	0	0
g1032	0	0	0	0	8	5	6	6
g10320	0	0	0	0	0	0	0	0
g10321	0	0	0	0	0	0	0	0
g10322	0	0	0	0	0	0	0	0
g10323	0	0	0	0	0	0	0	0
g10324	0	0	0	0	0	0	0	0
g10325	0	0	0	0	0	0	0	0
g10326	0	0	0	0	0	0	0	0
g10327	0	0	0	0	0	0	0	0
g10328	0	0	0	0	0	0	0	0
g10329	0	0	0	0	0	0	0	0
g1033	0	0	0	0	2	0	0	0
g10330	0	0	0	0	0	0	0	0
g10331	0	0	0	0	0	0	0	0
g10332	0	0	0	0	0	0	0	0
g10333	0	0	0	0	0	0	0	0
g10334	0	0	0	0	0	0	0	0
g10335	0	0	0	0	0	0	0	0
g10336	0	0	0	0	0	0	0	0
g10337	0	0	0	0	0	0	0	0
g10338	0	0	0	0	0	0	0	0
g10339	0	0	0	0	0	0	0	0
g1034	26	12	12	12	8	7	10	10
g10340	0	0	0	0	0	0	0	0
g10341	0	0	0	0	0	0	0	0
g10342	0	0	0	0	0	0	0	0
g10343	0	0	0	0	0	0	0	0
g10344	0	0	0	0	0	0	0	0
g10345	0	0	0	0	0	0	0	0
g10346	0	0	0	0	0	0	0	0
g10347	0	0	0	0	0	0	0	0
g10348	0	0	0	0	0	0	0	0
g10349	0	0	0	0	0	0	0	0
g1035	1086	1276	1404	1404	1161	1240	1284	1284
g10350	0	0	0	0	0	0	0	0
g10351	0	0	0	0	0	0	0	0
g10352	0	0	0	0	0	0	0	0
g10353	0	0	0	0	0	0	0	0
g10354	0	0	0	0	0	0	0	0
g10355	20	9	10	10	18	15	8	8
g10356	0	3	0	0	2	0	0	0
g10357	5	2	0	0	0	2	0	0
g10358	0	9	1	1	3	2	0	0
g10359	39	29	30	30	10	22	21	21
g1036	190	187	160	160	130	123	160	160
g10360	0	0	2	2	0	0	0	0
g10361	0	0	0	0	0	0	0	0
g10362	0	0	0	0	0	0	0	0
g10363	7	0	0	0	4	4	3	3
g10364	16	24	37	37	45	19	13	13
g10365	0	0	3	3	5	9	0	0
g10366	11	4	0	0	0	0	3	3
g10367	0	0	0	0	0	0	0	0
g10368	106	126	87	87	143	119	85	85
g10369	21	20	26	26	26	32	22	22
g1037	94	73	85	85	81	73	100	100
g10370	30	26	16	16	8	25	12	12
g10371	0	2	0	0	10	2	7	7
g10372	0	0	0	0	0	0	0	0
g10373	0	0	0	0	0	0	0	0
g10374	0	0	0	0	0	0	0	0
g10375	0	0	0	0	0	0	0	0
g10376	0	0	0	0	0	0	0	0
g10377	0	0	0	0	0	0	0	0
g10378	0	0	0	0	0	0	0	0
g10379	0	0	0	0	0	0	0	0
g1038	30	30	34	34	26	29	27	27
g10380	0	0	0	0	0	0	0	0
g10381	0	0	0	0	0	0	0	0
g10382	0	0	0	0	0	0	0	0
g10383	0	0	0	0	0	0	0	0
g10384	0	1	0	0	2	0	0	0
g10385	0	0	0	0	0	0	0	0
g10386	0	0	0	0	0	0	0	0
g10387	0	0	0	0	0	0	0	0
g10388	0	0	0	0	0	0	0	0
g10389	0	0	0	0	0	0	0	0
g1039	57	56	44	44	61	27	41	41
g10390	0	0	0	0	0	0	0	0
g10391	0	0	0	0	0	0	0	0
g10392	0	0	0	0	0	0	0	0
g10393	0	0	0	0	0	0	0	0
g10394	0	0	0	0	0	0	0	0
g10395	0	0	0	0	0	0	2	2
g10396	0	0	0	0	0	0	0	0
g10397	0	0	0	0	3	0	0	0
g10398	0	2	0	0	0	0	0	0
g10399	0	0	0	0	0	2	0	0
g104	0	4	7	7	11	13	10	10
g1040	0	6	0	0	0	0	0	0
g10400	0	2	0	0	0	0	12	12
g10401	7	10	0	0	4	3	0	0
g10402	19	8	12	12	23	16	21	21
g10403	0	0	0	0	0	0	0	0
g10404	0	0	0	0	0	0	0	0
g10405	0	10	0	0	0	0	5	5
g10406	2	0	0	0	0	0	0	0
g10407	20	20	17	17	16	18	8	8
g10408	0	0	0	0	0	0	0	0
g10409	0	14	12	12	4	0	7	7
g1041	3	0	0	0	0	0	0	0
g10410	8	10	6	6	0	4	9	9
g10411	18	49	28	28	32	25	28	28
g10412	0	0	0	0	0	0	0	0
g10413	2	14	2	2	3	3	0	0
g10414	0	0	0	0	0	0	0	0
g10415	12	10	17	17	0	5	7	7
g10416	3	0	0	0	0	3	9	9
g10417	0	0	2	2	0	3	0	0
g10418	0	0	0	0	0	0	0	0
g10419	0	0	0	0	0	0	0	0
g1042	0	3	0	0	0	7	7	7
g10420	0	0	0	0	0	2	0	0
g10421	0	1	0	0	0	0	0	0
g10422	34	35	19	19	39	34	37	37
g10423	0	0	0	0	0	0	0	0
g10424	11	15	5	5	12	12	0	0
g10425	21	27	17	17	17	17	29	29
g10426	0	7	0	0	2	6	0	0
g10427	0	0	10	10	17	0	13	13
g10428	4	0	0	0	0	0	0	0
g10429	0	5	3	3	0	2	0	0
g1043	12	6	4	4	11	11	6	6
g10430	0	0	0	0	0	0	0	0
g10431	16	26	9	9	14	18	10	10
g10432	16	12	25	25	14	26	13	13
g10433	7	0	4	4	0	8	6	6
g10434	4	8	7	7	7	5	6	6
g10435	0	5	10	10	13	5	0	0
g10436	0	0	0	0	0	0	0	0
g10437	12	0	6	6	4	10	5	5
g10438	5	0	0	0	0	0	0	0
g10439	11	4	0	0	0	0	0	0
g1044	0	0	0	0	0	0	0	0
g10440	0	0	0	0	0	0	0	0
g10441	0	0	0	0	0	0	0	0
g10442	0	0	0	0	0	0	0	0
g10443	4	0	2	2	0	3	4	4
g10444	5	11	5	5	20	7	4	4
g10445	0	0	2	2	0	0	0	0
g10446	33	33	10	10	15	24	19	19
g10447	60	60	53	53	54	49	63	63
g10448	21	14	16	16	14	15	31	31
g10449	0	0	0	0	0	0	1	1
g1045	0	2	4	4	0	0	0	0
g10450	0	0	0	0	0	2	0	0
g10451	3	6	0	0	12	0	10	10
g10452	0	14	12	12	4	14	4	4
g10453	0	0	0	0	0	3	0	0
g10454	0	0	0	0	0	0	0	0
g10455	0	0	0	0	0	0	0	0
g10456	29	36	10	10	26	29	36	36
g10457	0	4	4	4	0	2	0	0
g10458	6	0	4	4	2	2	2	2
g10459	0	2	4	4	3	0	0	0
g1046	4	4	0	0	0	28	0	0
g10460	0	0	4	4	0	0	2	2
g10461	22	18	18	18	19	14	18	18
g10462	0	0	0	0	0	0	0	0
g10463	0	0	0	0	0	0	0	0
g10464	36	31	28	28	47	44	24	24
g10465	81	65	70	70	118	64	82	82
g10466	0	0	0	0	0	0	0	0
g10467	4	6	4	4	10	11	9	9
g10468	0	0	0	0	0	0	0	0
g10469	0	0	0	0	0	0	0	0
g1047	0	0	0	0	0	3	0	0
g10470	0	0	0	0	0	0	0	0
g10471	0	0	0	0	0	0	0	0
g10472	0	0	0	0	0	0	0	0
g10473	26	30	25	25	37	34	30	30
g10474	357	257	244	244	356	396	374	374
g10475	8	20	8	8	7	7	12	12
g10476	26	52	14	14	0	46	48	48
g10477	180	195	163	163	201	274	265	265
g10478	335	356	423	423	427	493	566	566
g10479	0	0	0	0	0	0	0	0
g1048	0	0	2	2	0	0	0	0
g10480	76	70	54	54	82	47	83	83
g10481	91	92	98	98	133	155	129	129
g10482	0	0	0	0	0	0	0	0
g10483	0	0	0	0	0	0	0	0
g10484	0	1	2	2	2	1	1	1
g10485	6	4	0	0	0	8	9	9
g10486	3	0	0	0	8	6	0	0
g10487	0	0	0	0	0	0	0	0
g10488	0	0	0	0	0	0	0	0
g10489	0	3	0	0	0	0	0	0
g1049	0	0	0	0	0	0	0	0
g10490	12	0	14	14	0	11	16	16
g10491	0	0	0	0	0	0	0	0
g10492	0	0	0	0	0	0	0	0
g10493	56	83	107	107	51	71	87	87
g10494	95	75	113	113	141	128	83	83
g10495	0	0	0	0	0	0	0	0
g10496	0	0	0	0	0	0	0	0
g10497	433	476	614	614	510	566	560	560
g10498	9	5	8	8	4	14	13	13
g10499	0	0	0	0	0	0	0	0
g105	15	7	10	10	18	15	9	9
g1050	6	0	0	0	0	0	0	0
g10500	14	6	9	9	14	12	19	19
g10501	1	0	0	0	0	0	0	0
g10502	0	0	0	0	4	0	4	4
g10503	31	13	46	46	12	24	20	20
g10504	5	11	4	4	6	0	14	14
g10505	0	2	7	7	0	0	6	6
g10506	2	0	0	0	0	0	0	0
g10507	0	4	0	0	0	0	2	2
g10508	0	0	2	2	8	5	0	0
g10509	10	11	14	14	10	9	2	2
g1051	10	8	12	12	10	4	0	0
g10510	0	0	0	0	0	3	0	0
g10511	0	0	0	0	0	2	0	0
g10512	0	0	0	0	0	0	0	0
g10513	0	0	0	0	0	0	0	0
g10514	0	0	0	0	0	0	0	0
g10515	0	2	0	0	0	0	0	0
g10516	75	53	48	48	83	44	55	55
g10517	0	0	10	10	0	6	9	9
g10518	0	0	2	2	0	5	3	3
g10519	0	0	0	0	0	0	0	0
g1052	25	35	29	29	27	33	34	34
g10520	0	2	0	0	0	0	0	0
g10521	9	0	3	3	6	6	0	0
g10522	10	25	15	15	7	12	11	11
g10523	101	109	95	95	80	85	53	53
g10524	9	3	0	0	0	0	0	0
g10525	0	1	0	0	0	0	0	0
g10526	0	0	0	0	0	0	0	0
g10527	0	0	0	0	0	0	0	0
g10528	0	0	2	2	2	0	0	0
g10529	13	12	15	15	11	25	8	8
g1053	0	4	3	3	4	0	0	0
g10530	7	0	4	4	6	2	4	4
g10531	0	6	0	0	3	0	0	0
g10532	3	4	6	6	0	0	0	0
g10533	0	0	0	0	0	0	0	0
g10534	0	0	0	0	0	0	0	0
g10535	0	0	0	0	0	0	4	4
g10536	0	0	0	0	0	6	0	0
g10537	0	6	0	0	0	0	0	0
g10538	9	15	24	24	22	6	18	18
g10539	30	19	16	16	25	16	15	15
g1054	10	13	6	6	12	9	6	6
g10540	2	4	0	0	2	0	0	0
g10541	0	2	2	2	0	0	0	0
g10542	0	0	0	0	0	0	0	0
g10543	0	0	0	0	0	0	0	0
g10544	0	0	0	0	0	0	0	0
g10545	0	0	0	0	6	0	0	0
g10546	10	23	16	16	6	4	16	16
g10547	0	0	0	0	3	0	7	7
g10548	0	0	0	0	0	0	0	0
g10549	0	0	0	0	0	0	0	0
g1055	0	0	0	0	0	0	0	0
g10550	0	0	0	0	0	0	0	0
g10551	0	2	0	0	0	0	0	0
g10552	0	0	0	0	0	0	0	0
g10553	6	4	3	3	0	0	4	4
g10554	641	558	545	545	894	803	699	699
g10555	0	0	2	2	0	0	0	0
g10556	0	0	2	2	0	0	0	0
g10557	0	0	0	0	0	0	0	0
g10558	8	0	6	6	6	2	0	0
g10559	0	3	0	0	0	4	10	10
g1056	0	0	0	0	0	0	0	0
g10560	0	2	0	0	0	0	2	2
g10561	0	0	0	0	0	0	0	0
g10562	0	3	2	2	0	3	0	0
g10563	0	9	12	12	6	9	6	6
g10564	0	0	0	0	0	0	0	0
g10565	4	4	0	0	0	7	0	0
g10566	4	6	1	1	5	4	0	0
g10567	0	0	0	0	0	0	0	0
g10568	20	6	22	22	18	22	10	10
g10569	10	7	8	8	0	9	9	9
g1057	2	0	0	0	0	0	0	0
g10570	0	0	0	0	0	0	0	0
g10571	3	4	9	9	4	3	10	10
g10572	0	4	0	0	4	0	0	0
g10573	0	0	0	0	3	0	0	0
g10574	0	0	0	0	0	0	0	0
g10575	0	0	0	0	0	0	0	0
g10576	0	0	0	0	0	0	0	0
g10577	0	0	0	0	0	0	0	0
g10578	4	0	2	2	4	0	0	0
g10579	54	57	50	50	43	54	44	44
g1058	0	0	0	0	0	2	0	0
g10580	0	0	0	0	0	0	0	0
g10581	0	7	4	4	0	0	0	0
g10582	4	5	5	5	0	8	0	0
g10583	0	6	3	3	5	9	8	8
g10584	0	0	0	0	0	0	0	0
g10585	799	927	826	826	727	722	843	843
g10586	0	0	0	0	0	0	0	0
g10587	2	0	3	3	5	4	0	0
g10588	0	0	0	0	3	4	0	0
g10589	0	0	0	0	0	6	0	0
g1059	0	6	4	4	0	0	2	2
g10590	4	0	0	0	0	0	0	0
g10591	0	8	3	3	4	0	13	13
g10592	14	6	9	9	14	10	9	9
g10593	0	0	0	0	0	0	0	0
g10594	9	8	11	11	5	10	10	10
g10595	0	0	0	0	0	0	0	0
g10596	183	119	105	105	82	160	67	67
g10597	12	7	4	4	22	12	0	0
g10598	3	0	0	0	4	0	0	0
g10599	0	4	5	5	0	0	0	0
g106	3	4	0	0	4	2	0	0
g1060	0	2	0	0	0	0	0	0
g10600	0	4	2	2	0	4	6	6
g10601	16	28	12	12	20	25	11	11
g10602	5	0	5	5	0	5	5	5
g10603	0	0	0	0	0	0	0	0
g10604	0	8	0	0	0	4	0	0
g10605	2	0	3	3	0	0	0	0
g10606	0	0	0	0	4	0	0	0
g10607	13	6	17	17	19	6	22	22
g10608	0	0	0	0	0	3	0	0
g10609	0	2	0	0	0	0	0	0
g1061	0	0	0	0	0	0	2	2
g10610	0	0	0	0	0	0	0	0
g10611	0	0	0	0	6	2	0	0
g10612	0	0	0	0	0	0	0	0
g10613	0	0	13	13	14	2	7	7
g10614	20	12	8	8	8	11	11	11
g10615	7	6	0	0	5	2	2	2
g10616	2	6	4	4	0	0	2	2
g10617	0	0	0	0	0	0	0	0
g10618	14	14	7	7	16	22	8	8
g10619	0	0	0	0	0	0	0	0
g1062	0	0	0	0	0	0	0	0
g10620	0	0	0	0	0	0	0	0
g10621	0	0	0	0	0	0	0	0
